,floor,hour,direction,week,avgWait
182,5,0,up,weekday,13.06058824
183,5,1,up,weekday,14.115
184,5,1,down,weekday,10.86
185,5,2,up,weekday,9.592222222
186,5,2,down,weekday,10.61
187,5,3,up,weekday,13.65428571
188,5,3,down,weekday,17.96
189,5,4,up,weekday,15.84666667
190,5,4,down,weekday,15.97
191,5,5,up,weekday,11.6575
192,5,5,down,weekday,29.4225
193,5,6,up,weekday,13.24428571
194,5,6,down,weekday,20.348
195,5,7,down,weekday,34.471
196,5,7,up,weekday,10.4135
197,5,8,down,weekday,40.82443038
198,5,8,up,weekday,9.978
199,5,9,down,weekday,46.30752809
200,5,9,up,weekday,9.838285714
201,5,10,down,weekday,41.44410959
202,5,10,up,weekday,10.32583333
203,5,11,down,weekday,54.33087379
204,5,11,up,weekday,11.07831683
205,5,12,down,weekday,38.43091743
206,5,12,up,weekday,8.859634146
207,5,13,down,weekday,44.07285714
208,5,13,up,weekday,10.05910256
209,5,14,down,weekday,45.70141026
210,5,14,up,weekday,10.2959633
211,5,15,down,weekday,47.35247525
212,5,15,up,weekday,9.69009901
213,5,16,down,weekday,47.7856
214,5,16,up,weekday,12.30865979
215,5,17,down,weekday,46.56439394
216,5,17,up,weekday,11.76291139
217,5,18,down,weekday,33.25653465
218,5,18,up,weekday,15.86862745
219,5,19,down,weekday,26.49870968
220,5,19,up,weekday,15.57023256
221,5,20,down,weekday,16.945
222,5,20,up,weekday,18.7225
223,5,21,down,weekday,12.99425
224,5,21,up,weekday,14.41538462
225,5,22,down,weekday,17.57444444
226,5,22,up,weekday,17.02235294
227,5,23,down,weekday,19.92875
228,5,23,up,weekday,15.12
229,6,0,down,weekday,1.61
230,6,0,up,weekday,8.64
231,6,1,up,weekday,3.92
232,6,1,down,weekday,1.48
233,6,2,down,weekday,5.446
234,6,3,down,weekday,11.658
235,6,4,down,weekday,12.684
236,6,5,down,weekday,14.87
237,6,5,up,weekday,13.876
238,6,6,down,weekday,18.33036697
239,6,6,up,weekday,22.40045455
240,6,7,down,weekday,22.77988827
241,6,7,up,weekday,39.46348485
242,6,8,down,weekday,13.50298611
243,6,8,up,weekday,52.73866667
244,6,9,down,weekday,12.74657303
245,6,9,up,weekday,57.50764706
246,6,10,down,weekday,13.78043689
247,6,10,up,weekday,43.27655738
248,6,11,down,weekday,10.63971963
249,6,11,up,weekday,81.95076923
250,6,12,down,weekday,10.89734043
251,6,12,up,weekday,66.72657143
252,6,13,down,weekday,12.41157143
253,6,13,up,weekday,72.8416129
254,6,14,down,weekday,14.32419492
255,6,14,up,weekday,66.5485
256,6,15,down,weekday,10.78172093
257,6,15,up,weekday,72.4571875
258,6,16,down,weekday,11.9687619
259,6,16,up,weekday,69.12615385
260,6,17,down,weekday,8.888839286
261,6,17,up,weekday,66.17484848
262,6,18,down,weekday,12.17037234
263,6,18,up,weekday,49.1175
264,6,19,down,weekday,15.82796117
265,6,19,up,weekday,23.46375
266,6,20,down,weekday,12.64817073
267,6,20,up,weekday,28.1825
268,6,21,down,weekday,12.4623913
269,6,21,up,weekday,23.66
270,6,22,down,weekday,12.79271186
271,6,22,up,weekday,11.765
272,6,23,down,weekday,14.17892308
273,6,23,up,weekday,13.3165625
274,7,0,down,weekday,15.10625
275,7,0,up,weekday,10.35857143
276,7,1,down,weekday,14.42875
277,7,1,up,weekday,10.14
278,7,2,down,weekday,10.45
279,7,2,up,weekday,5.996666667
280,7,3,down,weekday,17.128
281,7,3,up,weekday,7.745
282,7,4,down,weekday,13.28
283,7,4,up,weekday,7.84
284,7,5,down,weekday,21.79
285,7,5,up,weekday,12.6375
286,7,6,down,weekday,19.0025
287,7,6,up,weekday,19.965
288,7,7,down,weekday,20.17469388
289,7,7,up,weekday,30.5975
290,7,8,down,weekday,14.4419697
291,7,8,up,weekday,50.57461538
292,7,9,down,weekday,23.77867647
293,7,9,up,weekday,49.654
294,7,10,down,weekday,13.65861538
295,7,10,up,weekday,49.59741935
296,7,11,down,weekday,11.37225989
297,7,11,up,weekday,75.4412766
298,7,12,down,weekday,11.69809783
299,7,12,up,weekday,59.97212121
300,7,13,down,weekday,10.74592593
301,7,13,up,weekday,74.63418605
302,7,14,down,weekday,11.55571429
303,7,14,up,weekday,58.63872727
304,7,15,down,weekday,11.11300613
305,7,15,up,weekday,60.96323529
306,7,16,down,weekday,11.54701389
307,7,16,up,weekday,62.54614035
308,7,17,down,weekday,11.08728302
309,7,17,up,weekday,63.2878125
310,7,18,down,weekday,12.04862637
311,7,18,up,weekday,41.03916667
312,7,19,down,weekday,16.23556818
313,7,19,up,weekday,25.53555556
