,floor,hour,direction,avgWait_weekday
0,B4,0,up,15.753043478260873
1,B4,1,up,13.256
2,B4,2,up,4.006363636363637
3,B4,3,up,8.892727272727273
4,B4,4,up,6.216666666666666
5,B4,5,up,5.677142857142857
6,B4,6,up,5.0653424657534245
7,B4,7,up,9.895967741935483
8,B4,8,up,10.22158940397351
9,B4,9,up,11.108465346534652
10,B4,10,up,13.014438775510204
11,B4,11,up,13.191596244131455
12,B4,12,up,10.751832460732984
13,B4,13,up,12.22541463414634
14,B4,14,up,11.032032967032967
15,B4,15,up,11.550142180094786
16,B4,16,up,11.264325842696628
17,B4,17,up,10.944453125
18,B4,18,up,11.956375838926174
19,B4,19,up,13.325448275862067
20,B4,20,up,11.40865168539326
21,B4,21,up,8.239761904761904
22,B4,22,up,3.1558928571428573
23,B4,23,up,9.845625
