,floor,hour,direction,avgWait_weekend
0,B4,0,up,26.942
1,B4,3,up,16.39
2,B4,4,up,28.634999999999998
3,B4,5,up,12.7575
4,B4,6,up,19.755384615384614
5,B4,7,up,22.851973684210527
6,B4,8,up,23.995324675324675
7,B4,9,up,33.22894117647059
8,B4,10,up,28.284655172413792
9,B4,11,up,34.62672727272727
10,B4,12,up,46.81163636363637
11,B4,13,up,30.926388888888887
12,B4,14,up,33.8087012987013
13,B4,15,up,34.5835
14,B4,16,up,33.610459770114936
15,B4,17,up,43.48176470588235
16,B4,18,up,42.754000000000005
17,B4,19,up,26.232
18,B4,20,up,19.256666666666668
19,B4,21,up,16.284230769230767
20,B4,22,up,56.62
21,B4,23,up,15.01
22,B3,0,down,12.37
23,B3,1,up,4.85
24,B3,5,up,17.405
25,B3,6,up,11.30875
26,B3,7,down,46.651666666666664
27,B3,7,up,15.46875
28,B3,8,down,25.9175
29,B3,8,up,20.324897959183673
30,B3,9,down,27.9525
31,B3,9,up,30.1795
32,B3,10,down,37.1475
33,B3,10,up,20.727096774193548
34,B3,11,down,33.59444444444445
35,B3,11,up,23.623235294117645
36,B3,12,down,39.9
37,B3,12,up,14.96952380952381
38,B3,13,down,15.70125
39,B3,13,up,28.96034482758621
40,B3,14,down,10.564
41,B3,14,up,16.54736842105263
42,B3,15,down,18.165833333333335
43,B3,15,up,18.515000000000004
44,B3,16,down,20.116666666666667
45,B3,16,up,19.44448275862069
46,B3,17,down,2.93
47,B3,17,up,24.774
48,B3,18,up,27.471249999999998
49,B3,19,down,1.6
50,B3,19,up,40.80555555555556
51,B3,20,up,32.708
52,B3,21,up,15.565833333333336
53,B3,21,down,12.93
54,B3,22,up,13.473333333333334
55,B3,22,down,10.923333333333334
56,B3,23,up,13.5725
57,B1,0,up,10.198823529411765
58,B1,0,down,15.675
59,B1,1,down,9.036666666666667
60,B1,1,up,4.301111111111111
61,B1,2,down,7.49
62,B1,2,up,7.6899999999999995
63,B1,3,up,5.175000000000001
64,B1,4,up,8.363846153846154
65,B1,5,up,8.444999999999999
66,B1,6,down,35.472727272727276
67,B1,6,up,19.066530612244897
68,B1,7,down,23.61565217391304
69,B1,7,up,24.83337552742616
70,B1,8,down,23.502962962962965
71,B1,8,up,30.167205240174674
72,B1,9,down,23.295925925925925
73,B1,9,up,24.325052083333333
74,B1,10,down,27.138620689655173
75,B1,10,up,36.51318918918919
76,B1,11,down,23.081463414634147
77,B1,11,up,46.30771428571429
78,B1,12,down,33.853750000000005
79,B1,12,up,40.72053191489362
80,B1,13,down,25.327692307692306
