,floor,hour,direction,avgWait_weekend
0,1,0,up,9.79
1,1,1,up,14.395
2,1,2,up,12.976666666666667
3,1,3,down,23.4
4,1,3,up,15.83
5,1,5,up,13.248333333333335
6,1,6,down,27.488888888888887
7,1,6,up,18.0916
8,1,7,down,25.218604651162792
9,1,7,up,16.886402116402117
10,1,8,down,32.988
11,1,8,up,13.831301775147928
12,1,9,down,17.761875
13,1,9,up,11.574202898550725
14,1,10,down,14.25153846153846
15,1,10,up,12.365348837209304
16,1,11,down,13.681666666666667
17,1,11,up,11.43811965811966
18,1,12,down,15.356046511627905
19,1,12,up,15.122173913043477
20,1,13,down,26.875172413793102
21,1,13,up,13.091682242990654
22,1,14,down,7.974137931034483
23,1,14,up,9.164736842105263
24,1,15,down,20.536944444444444
25,1,15,up,14.0507
26,1,16,down,16.18885714285714
27,1,16,up,14.862407407407407
28,1,17,down,24.634473684210526
29,1,17,up,14.542499999999999
30,1,18,down,24.48409090909091
31,1,18,up,12.512758620689656
32,1,19,down,15.353809523809524
33,1,19,up,10.702075471698114
34,1,20,down,8.338888888888889
35,1,20,up,13.347073170731708
36,1,21,down,9.001666666666667
37,1,21,up,11.841818181818182
38,1,22,down,5.687777777777778
39,1,22,up,9.648979591836735
40,1,23,down,13.0575
41,1,23,up,6.954705882352941
42,2,1,up,19.2
43,2,6,up,14.29
44,2,6,down,9.51
45,2,7,down,28.666666666666668
46,2,7,up,11.3025
47,2,8,down,24.185
48,2,8,up,10.296764705882353
49,2,9,down,20.375384615384615
50,2,9,up,7.674186046511628
51,2,10,down,15.686666666666666
52,2,10,up,10.7940625
53,2,11,down,25.848275862068967
54,2,11,up,9.378163265306123
55,2,12,down,19.744666666666664
56,2,12,up,11.798437499999999
57,2,13,down,23.543
58,2,13,up,8.29025
59,2,14,down,49.045625
60,2,14,up,8.205348837209302
61,2,15,down,16.391363636363636
62,2,15,up,9.713333333333333
63,2,16,down,20.52842105263158
64,2,16,up,11.037826086956523
65,2,17,down,31.306666666666665
66,2,17,up,13.650588235294117
