,floor,hour,direction,week,avgWait
174,14,23,up,weekday,22.23
175,13,0,down,weekday,19.11021739
176,13,0,up,weekday,13.355
177,13,1,down,weekday,12.33333333
178,13,1,up,weekday,22.285
179,13,2,down,weekday,15.69214286
180,13,2,up,weekday,18.95
181,13,3,down,weekday,16.22555556
182,13,4,down,weekday,16.9595
183,13,5,down,weekday,17.36139535
184,13,5,up,weekday,21.692
185,13,6,down,weekday,20.12730994
186,13,6,up,weekday,32.80071429
187,13,7,down,weekday,27.63387454
188,13,7,up,weekday,38.72545455
189,13,8,down,weekday,25.12909375
190,13,8,up,weekday,51.92125
191,13,9,down,weekday,27.16094801
192,13,9,up,weekday,65.93875
193,13,10,down,weekday,28.24836237
194,13,10,up,weekday,50.19272727
195,13,11,down,weekday,34.95441261
196,13,11,up,weekday,38.76516129
197,13,12,down,weekday,33.63287709
198,13,12,up,weekday,82.04
199,13,13,down,weekday,28.48062893
200,13,13,up,weekday,45.36952381
201,13,14,down,weekday,26.33547855
202,13,14,up,weekday,71.12
203,13,15,down,weekday,26.75651316
204,13,15,up,weekday,28.94066667
205,13,16,down,weekday,28.74621849
206,13,16,up,weekday,33.88583333
207,13,17,down,weekday,32.54225974
208,13,17,up,weekday,60.67411765
209,13,18,down,weekday,24.5861828
210,13,18,up,weekday,55.132
211,13,19,down,weekday,24.89744745
212,13,19,up,weekday,39.76384615
213,13,20,down,weekday,19.91897059
214,13,20,up,weekday,56.98285714
215,13,21,down,weekday,16.53364486
216,13,21,up,weekday,21.35
217,13,22,down,weekday,18.24455285
218,13,22,up,weekday,7.62
219,13,23,down,weekday,14.45054795
220,13,23,up,weekday,23.56
221,12,0,down,weekday,17.05585366
222,12,0,up,weekday,21.81333333
223,12,1,down,weekday,19.85133333
224,12,1,up,weekday,10.975
225,12,2,down,weekday,16.43
226,12,3,down,weekday,18.740625
227,12,3,up,weekday,12.55
228,12,4,down,weekday,17.96111111
229,12,5,down,weekday,15.0152459
230,12,5,up,weekday,9.35
231,12,6,down,weekday,22.43213675
232,12,6,up,weekday,45.04428571
233,12,7,down,weekday,22.22938628
234,12,7,up,weekday,41.51333333
235,12,8,down,weekday,20.93503425
236,12,8,up,weekday,56.79
237,12,9,down,weekday,19.07154639
238,12,9,up,weekday,39.74538462
239,12,10,down,weekday,16.43317518
240,12,10,up,weekday,37.64633333
241,12,11,down,weekday,18.70092063
242,12,11,up,weekday,60.13380952
243,12,12,down,weekday,17.24123596
244,12,12,up,weekday,55.82
245,12,13,down,weekday,19.80119318
246,12,13,up,weekday,61.32857143
247,12,14,down,weekday,18.28167192
248,12,14,up,weekday,34.89782609
249,12,15,down,weekday,19.24252427
250,12,15,up,weekday,27.82363636
251,12,16,down,weekday,18.953
252,12,16,up,weekday,47.16095238
253,12,17,down,weekday,14.60273657
254,12,17,up,weekday,41.29777778
255,12,18,down,weekday,16.32425743
256,12,18,up,weekday,41.685
257,12,19,down,weekday,18.14810726
258,12,19,up,weekday,42.47083333
259,12,20,down,weekday,18.57537931
260,12,20,up,weekday,67.63416667
261,12,21,down,weekday,14.39316832
262,12,21,up,weekday,40.165
263,12,22,down,weekday,18.96982759
264,12,22,up,weekday,13.06857143
265,12,23,down,weekday,16.21826087
266,12,23,up,weekday,14.852
267,11,0,down,weekday,15.82484375
268,11,0,up,weekday,31.22
269,11,1,down,weekday,19.3175
270,11,2,down,weekday,18.86933333
271,11,3,down,weekday,19.49666667
272,11,3,up,weekday,17.43
273,11,4,down,weekday,16.97833333
274,11,5,down,weekday,15.74191489
275,11,5,up,weekday,15.34
276,11,6,down,weekday,20.06993548
277,11,6,up,weekday,50.43666667
278,11,7,down,weekday,17.44232975
279,11,7,up,weekday,56.35153846
280,11,8,down,weekday,15.76152905
281,11,8,up,weekday,87.75
282,11,9,down,weekday,14.76299003
283,11,9,up,weekday,48.53125
284,11,10,down,weekday,15.36433447
285,11,10,up,weekday,22.76692308
286,11,11,down,weekday,14.0254485
287,11,11,up,weekday,43.66769231
288,11,12,down,weekday,12.78285256
289,11,12,up,weekday,47.2825
290,11,13,down,weekday,12.92865031
291,11,13,up,weekday,40.21210526
292,11,14,down,weekday,15.08414894
293,11,14,up,weekday,38.48875
294,11,15,down,weekday,15.20768116
295,11,15,up,weekday,38.58833333
296,11,16,down,weekday,13.86175896
297,11,16,up,weekday,46.68058824
298,11,17,down,weekday,13.7068595
299,11,17,up,weekday,53.33571429
300,11,18,down,weekday,13.27431635
301,11,18,up,weekday,60.48166667
302,11,19,down,weekday,16.04068323
303,11,19,up,weekday,37.16888889
304,11,20,down,weekday,16.37824324
305,11,20,up,weekday,23.39555556
306,11,21,down,weekday,15.38950226
307,11,21,up,weekday,41.934
308,11,22,down,weekday,16.8965035
309,11,22,up,weekday,23.47166667
310,11,23,down,weekday,17.79866667
311,11,23,up,weekday,20.0475
312,10,0,down,weekday,9.605714286
313,10,1,down,weekday,11.16
314,10,2,down,weekday,18.24
315,10,3,down,weekday,14.29666667
316,10,4,down,weekday,6.886666667
317,10,5,down,weekday,6.766666667
318,10,6,up,weekday,56.13
319,10,7,up,weekday,62.675
320,10,7,down,weekday,16.54090909
321,10,8,down,weekday,12.82487805
322,10,8,up,weekday,50.64428571
323,10,9,down,weekday,12.38146341
324,10,9,up,weekday,81.76333333
325,10,10,down,weekday,11.08622378
326,10,10,up,weekday,45.78551724
327,10,11,down,weekday,12.4034375
328,10,11,up,weekday,49.4708
329,10,12,down,weekday,10.90515152
330,10,12,up,weekday,55.22916667
331,10,13,down,weekday,13.70944882
332,10,13,up,weekday,45.257
333,10,14,down,weekday,10.91760274
334,10,14,up,weekday,97.97
335,10,15,down,weekday,11.80709877
336,10,15,up,weekday,54.275
337,10,16,down,weekday,11.22534722
338,10,16,up,weekday,49.30206897
339,10,17,down,weekday,11.09888268
340,10,17,up,weekday,45.53444444
341,10,18,down,weekday,13.21192308
342,10,18,up,weekday,76.123
343,10,19,down,weekday,9.386145833
344,10,19,up,weekday,59.80529412
345,10,20,down,weekday,12.11272727
346,10,20,up,weekday,60.94333333
347,10,21,down,weekday,17.70148148
348,10,21,up,weekday,20.885
349,10,22,down,weekday,13.01421053
350,10,22,up,weekday,6.696666667
351,10,23,down,weekday,14.46
352,9,0,down,weekday,17.36852941
353,9,0,up,weekday,35.39
354,9,1,down,weekday,14.52883333
355,9,1,up,weekday,14.155
356,9,2,down,weekday,14.6125
357,9,2,up,weekday,16.85
358,9,3,down,weekday,22.82714286
359,9,3,up,weekday,11.01
360,9,4,down,weekday,15.61222222
361,9,5,down,weekday,16.51724138
362,9,5,up,weekday,16.77
363,9,6,down,weekday,16.45621359
364,9,6,up,weekday,28.95
365,9,7,down,weekday,16.08915612
366,9,7,up,weekday,39.35578947
367,9,8,down,weekday,14.61520548
368,9,8,up,weekday,56.09391304
369,9,9,down,weekday,12.49076412
370,9,9,up,weekday,72.303
371,9,10,down,weekday,11.77430556
372,9,10,up,weekday,65.78346154
373,9,11,down,weekday,12.3802649
374,9,11,up,weekday,58.41840909
375,9,12,down,weekday,11.94447712
376,9,12,up,weekday,48.34892857
377,9,13,down,weekday,13.24744027
378,9,13,up,weekday,51.2504
379,9,14,down,weekday,13.49208754
380,9,14,up,weekday,43.582
381,9,15,down,weekday,12.02182724
382,9,15,up,weekday,42.28744681
383,9,16,down,weekday,13.084625
384,9,16,up,weekday,48.39352941
385,9,17,down,weekday,10.88948787
386,9,17,up,weekday,59.38368421
387,9,18,down,weekday,11.50292308
388,9,18,up,weekday,52.2526087
389,9,19,down,weekday,13.03622478
390,9,19,up,weekday,99.1375
391,9,20,down,weekday,15.55846939
392,9,20,up,weekday,42.305625
393,9,21,down,weekday,14.47578755
394,9,21,up,weekday,27.555
395,9,22,down,weekday,17.52858333
396,9,22,up,weekday,18.9725
397,9,23,down,weekday,18.21734694
398,9,23,up,weekday,9.16
399,8,0,down,weekday,16.39051471
400,8,0,up,weekday,15.98
401,8,1,down,weekday,14.85595238
402,8,1,up,weekday,18.1625
403,8,2,down,weekday,15.09913043
404,8,3,down,weekday,12.85333333
405,8,4,down,weekday,16.33388889
406,8,5,down,weekday,15.97366667
407,8,5,up,weekday,16.32
408,8,6,down,weekday,18.77839744
409,8,6,up,weekday,36.99
410,8,7,down,weekday,16.35487365
411,8,7,up,weekday,36.41380952
412,8,8,down,weekday,13.11241983
413,8,8,up,weekday,72.46166667
414,8,9,down,weekday,13.15844156
415,8,9,up,weekday,67.49621622
416,8,10,down,weekday,11.67217105
417,8,10,up,weekday,54.761
418,8,11,down,weekday,9.987006579
419,8,11,up,weekday,50.23160714
420,8,12,down,weekday,11.61687307
421,8,12,up,weekday,46.87555556
422,8,13,down,weekday,12.00620178
423,8,13,up,weekday,60.61282051
424,8,14,down,weekday,12.00324759
425,8,14,up,weekday,62.34644068
426,8,15,down,weekday,10.39535484
427,8,15,up,weekday,51.44793651
