,floor,hour,direction,avgWait_weekend
242,11,17,down,19.33
243,11,18,down,25.04357143
244,11,18,up,38.75
245,11,19,down,20.49
246,11,20,down,22.78
247,11,20,up,38.09
248,11,21,down,16.96777778
249,11,22,down,22.81285714
250,11,23,down,12.30411765
251,12,0,down,16.35
252,12,1,down,9.53
253,12,5,down,21.72
254,12,6,down,18.82307692
255,12,7,down,17.025
256,12,8,down,21.21392857
257,12,8,up,13.56
258,12,9,down,29.223
259,12,9,up,12.04
260,12,10,down,18.23461538
261,12,10,up,48.74
262,12,11,down,21.787
263,12,12,down,16.11363636
264,12,13,down,19.96846154
265,12,13,up,27.23
266,12,14,down,23.93947368
267,12,14,up,10.78
268,12,15,down,15.61666667
269,12,16,down,12.0325
270,12,17,down,22.80105263
271,12,18,down,16.68125
272,12,19,down,19.96363636
273,12,20,down,20.6325
274,12,21,down,11.14909091
275,12,22,down,15.72923077
276,12,23,down,14.26222222
277,13,0,down,17.56
278,13,0,up,9.52
279,13,1,down,12.2075
280,13,3,down,1.38
281,13,6,down,11.2525
282,13,7,down,16.955
283,13,7,up,16.93
284,13,8,down,23.40724138
285,13,8,up,14.78
286,13,9,down,17.31555556
287,13,10,down,30.37666667
288,13,10,up,21.77
289,13,11,down,12.78
290,13,12,down,24.42388889
291,13,12,up,22.81
292,13,13,down,16.755
293,13,14,down,14.98904762
294,13,14,up,31.36
295,13,15,down,20.63818182
296,13,16,down,23.07533333
297,13,17,down,18.0212
298,13,17,up,1.28
299,13,18,down,17.68583333
300,13,18,up,21.61
301,13,19,down,14.41428571
302,13,20,down,31.23875
303,13,20,up,40.77
304,13,21,down,30.20142857
305,13,22,down,23.0825
306,13,22,up,12.24
307,13,23,down,21.0775
308,13,23,up,36.71
309,14,0,down,8.865
310,14,1,down,19.81
311,14,2,down,16.32
312,14,2,up,14.94
313,14,3,down,1.37
314,14,4,down,1.44
315,14,5,down,23.95
316,14,6,down,20.18
317,14,6,up,19.04
318,14,7,down,23.86315789
319,14,7,up,6.79
320,14,8,down,20.23432432
321,14,8,up,1.36
322,14,9,down,20.10444444
323,14,10,down,19.02952381
324,14,10,up,9.53
325,14,11,down,25.465
326,14,11,up,32.57
327,14,12,down,23.65222222
328,14,12,up,19.23
329,14,13,down,16.34594595
330,14,14,down,19.29619048
331,14,14,up,34.495
332,14,15,down,21.17166667
333,14,16,down,23.844
334,14,17,down,25.81730769
335,14,18,down,28.04352941
336,14,19,down,20.33571429
337,14,19,up,13.34
338,14,20,down,19.33
339,14,21,down,13.42
340,14,21,up,1.34
341,14,22,down,14.75416667
342,14,23,down,28.69333333
343,15,0,down,13.496
344,15,1,down,10.136
345,15,2,down,13.58
346,15,3,down,25.74
347,15,6,down,18.248
348,15,7,down,25.214
349,15,8,down,18.44758621
350,15,9,down,28.87875
351,15,10,down,20.86538462
352,15,11,down,22.24857143
353,15,12,down,25.31176471
354,15,13,down,21.68178571
355,15,14,down,23.9888
356,15,15,down,26.5545
357,15,16,down,22.64083333
358,15,17,down,30.112
359,15,18,down,22.00904762
360,15,19,down,16.23894737
361,15,20,down,18.53529412
362,15,21,down,10.54461538
363,15,22,down,26.35857143
364,15,23,down,19.0925
