,floor,hour,direction,avgWait_weekday
252,12,16,up,47.16095238
232,12,6,up,45.04428571
258,12,19,up,42.47083333
256,12,18,up,41.685
234,12,7,up,41.51333333
254,12,17,up,41.29777778
262,12,21,up,40.165
238,12,9,up,39.74538462
240,12,10,up,37.64633333
248,12,14,up,34.89782609
250,12,15,up,27.82363636
231,12,6,down,22.43213675
233,12,7,down,22.22938628
222,12,0,up,21.81333333
235,12,8,down,20.93503425
223,12,1,down,19.85133333
245,12,13,down,19.80119318
249,12,15,down,19.24252427
237,12,9,down,19.07154639
263,12,22,down,18.96982759
251,12,16,down,18.953
226,12,3,down,18.740625
241,12,11,down,18.70092063
259,12,20,down,18.57537931
247,12,14,down,18.28167192
257,12,19,down,18.14810726
228,12,4,down,17.96111111
243,12,12,down,17.24123596
221,12,0,down,17.05585366
239,12,10,down,16.43317518
225,12,2,down,16.43
255,12,18,down,16.32425743
265,12,23,down,16.21826087
229,12,5,down,15.0152459
266,12,23,up,14.852
253,12,17,down,14.60273657
261,12,21,down,14.39316832
264,12,22,up,13.06857143
227,12,3,up,12.55
224,12,1,up,10.975
230,12,5,up,9.35
281,11,8,up,87.75
301,11,18,up,60.48166667
279,11,7,up,56.35153846
299,11,17,up,53.33571429
277,11,6,up,50.43666667
283,11,9,up,48.53125
289,11,12,up,47.2825
297,11,16,up,46.68058824
287,11,11,up,43.66769231
307,11,21,up,41.934
291,11,13,up,40.21210526
295,11,15,up,38.58833333
293,11,14,up,38.48875
303,11,19,up,37.16888889
268,11,0,up,31.22
309,11,22,up,23.47166667
305,11,20,up,23.39555556
285,11,10,up,22.76692308
276,11,6,down,20.06993548
311,11,23,up,20.0475
271,11,3,down,19.49666667
269,11,1,down,19.3175
270,11,2,down,18.86933333
310,11,23,down,17.79866667
278,11,7,down,17.44232975
272,11,3,up,17.43
273,11,4,down,16.97833333
308,11,22,down,16.8965035
304,11,20,down,16.37824324
302,11,19,down,16.04068323
267,11,0,down,15.82484375
280,11,8,down,15.76152905
274,11,5,down,15.74191489
306,11,21,down,15.38950226
284,11,10,down,15.36433447
275,11,5,up,15.34
294,11,15,down,15.20768116
292,11,14,down,15.08414894
282,11,9,down,14.76299003
286,11,11,down,14.0254485
296,11,16,down,13.86175896
298,11,17,down,13.7068595
300,11,18,down,13.27431635
290,11,13,down,12.92865031
288,11,12,down,12.78285256
334,10,14,up,97.97
324,10,9,up,81.76333333
342,10,18,up,76.123
319,10,7,up,62.675
346,10,20,up,60.94333333
344,10,19,up,59.80529412
318,10,6,up,56.13
330,10,12,up,55.22916667
336,10,15,up,54.275
322,10,8,up,50.64428571
328,10,11,up,49.4708
338,10,16,up,49.30206897
326,10,10,up,45.78551724
340,10,17,up,45.53444444
332,10,13,up,45.257
348,10,21,up,20.885
314,10,2,down,18.24
347,10,21,down,17.70148148
320,10,7,down,16.54090909
351,10,23,down,14.46
315,10,3,down,14.29666667
331,10,13,down,13.70944882
341,10,18,down,13.21192308
349,10,22,down,13.01421053
321,10,8,down,12.82487805
327,10,11,down,12.4034375
323,10,9,down,12.38146341
345,10,20,down,12.11272727
335,10,15,down,11.80709877
337,10,16,down,11.22534722
313,10,1,down,11.16
339,10,17,down,11.09888268
325,10,10,down,11.08622378
333,10,14,down,10.91760274
329,10,12,down,10.90515152
312,10,0,down,9.605714286
343,10,19,down,9.386145833
316,10,4,down,6.886666667
317,10,5,down,6.766666667
350,10,22,up,6.696666667
390,9,19,up,99.1375
370,9,9,up,72.303
372,9,10,up,65.78346154
386,9,17,up,59.38368421
374,9,11,up,58.41840909
368,9,8,up,56.09391304
388,9,18,up,52.2526087
378,9,13,up,51.2504
384,9,16,up,48.39352941
376,9,12,up,48.34892857
380,9,14,up,43.582
392,9,20,up,42.305625
382,9,15,up,42.28744681
366,9,7,up,39.35578947
353,9,0,up,35.39
364,9,6,up,28.95
394,9,21,up,27.555
358,9,3,down,22.82714286
396,9,22,up,18.9725
397,9,23,down,18.21734694
395,9,22,down,17.52858333
352,9,0,down,17.36852941
357,9,2,up,16.85
362,9,5,up,16.77
361,9,5,down,16.51724138
363,9,6,down,16.45621359
365,9,7,down,16.08915612
360,9,4,down,15.61222222
391,9,20,down,15.55846939
367,9,8,down,14.61520548
356,9,2,down,14.6125
354,9,1,down,14.52883333
393,9,21,down,14.47578755
355,9,1,up,14.155
379,9,14,down,13.49208754
377,9,13,down,13.24744027
383,9,16,down,13.084625
389,9,19,down,13.03622478
369,9,9,down,12.49076412
373,9,11,down,12.3802649
381,9,15,down,12.02182724
375,9,12,down,11.94447712
371,9,10,down,11.77430556
387,9,18,down,11.50292308
359,9,3,up,11.01
385,9,17,down,10.88948787
398,9,23,up,9.16
413,8,8,up,72.46166667
435,8,19,up,69.84
415,8,9,up,67.49621622
425,8,14,up,62.34644068
423,8,13,up,60.61282051
417,8,10,up,54.761
429,8,16,up,53.43063492
431,8,17,up,53.22464286
427,8,15,up,51.44793651
419,8,11,up,50.23160714
443,8,23,up,47.77
433,8,18,up,47.1832
421,8,12,up,46.87555556
437,8,20,up,46.16555556
439,8,21,up,37.94583333
409,8,6,up,36.99
411,8,7,up,36.41380952
408,8,6,down,18.77839744
402,8,1,up,18.1625
442,8,23,down,17.28546667
441,8,22,up,16.97
399,8,0,down,16.39051471
440,8,22,down,16.39025
410,8,7,down,16.35487365
405,8,4,down,16.33388889
407,8,5,up,16.32
400,8,0,up,15.98
406,8,5,down,15.97366667
438,8,21,down,15.139
403,8,2,down,15.09913043
401,8,1,down,14.85595238
436,8,20,down,14.59897297
434,8,19,down,13.9447185
414,8,9,down,13.15844156
412,8,8,down,13.11241983
404,8,3,down,12.85333333
432,8,18,down,12.13253133
422,8,13,down,12.00620178
424,8,14,down,12.00324759
416,8,10,down,11.67217105
420,8,12,down,11.61687307
426,8,15,down,10.39535484
430,8,17,down,10.04880556
418,8,11,down,9.987006579
428,8,16,down,9.812330623
475,7,16,up,78.83933333
461,7,9,up,71.21574074
467,7,12,up,69.27978723
469,7,13,up,67.79828947
471,7,14,up,66.76563636
459,7,8,up,64.17617647
473,7,15,up,63.75333333
477,7,17,up,62.91493151
479,7,18,up,62.71285714
465,7,11,up,61.0715493
463,7,10,up,53.16671642
457,7,7,up,50.69862069
481,7,19,up,44.98175
483,7,20,up,36.3368
485,7,21,up,31.70882353
487,7,22,up,20.70625
445,7,0,up,20.34833333
488,7,23,down,16.98634409
448,7,2,down,16.93836735
454,7,6,down,15.8811413
449,7,3,down,15.74322581
452,7,4,up,14.7925
456,7,7,down,14.52095618
489,7,23,up,14.40571429
486,7,22,down,14.16201149
453,7,5,down,14.10964286
446,7,1,down,13.95048387
482,7,20,down,13.93146154
484,7,21,down,13.91429012
451,7,4,down,13.53473684
444,7,0,down,13.27657143
480,7,19,down,13.18874693
447,7,1,up,12.7
458,7,8,down,12.50026217
460,7,9,down,11.95281588
470,7,14,down,11.86885246
472,7,15,down,11.35462295
468,7,13,down,11.03775244
464,7,11,down,10.90224422
466,7,12,down,10.85493671
478,7,18,down,10.70521053
462,7,10,down,10.69985965
474,7,16,down,10.08903904
476,7,17,down,9.857471591
450,7,3,up,9.38
455,7,6,up,7.438
521,6,15,up,93.01814286
517,6,13,up,90.40340909
519,6,14,up,78.14044444
511,6,10,up,77.38109589
515,6,12,up,76.69696429
525,6,17,up,73.70109091
513,6,11,up,71.81855263
505,6,7,up,70.99287671
509,6,9,up,70.92916667
529,6,19,up,66.19464286
527,6,18,up,60.66258065
523,6,16,up,59.93780822
507,6,8,up,59.75162791
531,6,20,up,40.463125
503,6,6,up,38.51806452
533,6,21,up,37.91666667
537,6,23,up,25.69583333
501,6,5,up,25.07
535,6,22,up,22.472
498,6,4,down,16.16086957
490,6,0,down,14.81029412
532,6,21,down,14.73540541
500,6,5,down,14.44777778
502,6,6,down,14.2208867
534,6,22,down,13.96805556
494,6,2,down,13.85736842
492,6,1,down,13.84979592
504,6,7,down,13.49898785
536,6,23,down,13.28316456
491,6,0,up,12.99166667
496,6,3,down,12.49294118
530,6,20,down,12.32697248
528,6,19,down,12.14096096
510,6,10,down,11.6958125
506,6,8,down,11.53106452
508,6,9,down,10.98630225
512,6,11,down,10.91721805
518,6,14,down,10.73014085
526,6,18,down,10.31134286
514,6,12,down,10.28398496
516,6,13,down,10.28178988
493,6,1,up,10.25
524,6,17,down,10.21281046
522,6,16,down,10.07396774
520,6,15,down,9.753493151
499,6,4,up,9.5
495,6,2,up,9.34
497,6,3,up,0.725
560,5,11,down,65.93203125
572,5,17,down,65.00578313
562,5,12,down,61.51339535
576,5,19,down,57.86894737
568,5,15,down,57.33867299
574,5,18,down,53.88534884
570,5,16,down,52.51614458
556,5,9,down,52.18089744
566,5,14,down,51.60777293
552,5,7,down,49.36166667
564,5,13,down,49.22449761
558,5,10,down,46.76795652
554,5,8,down,46.58642857
578,5,20,down,39.05545455
550,5,6,down,27.56820513
580,5,21,down,27.22987342
582,5,22,down,21.75818182
539,5,0,up,19.2875
542,5,2,up,18.92666667
544,5,3,down,18.31384615
548,5,5,down,18.10266667
581,5,21,up,17.1845098
569,5,15,up,16.38195122
540,5,1,down,16.23422222
584,5,23,down,15.67484848
555,5,8,up,15.21020408
538,5,0,down,15.17296296
565,5,13,up,15.13309859
543,5,2,down,14.48142857
546,5,4,down,14.34714286
549,5,5,up,14.07
577,5,19,up,13.52134328
561,5,11,up,12.883375
559,5,10,up,12.52386667
575,5,18,up,12.2825
551,5,6,up,12.27466667
573,5,17,up,11.9778481
583,5,22,up,11.75461538
571,5,16,up,11.6020202
579,5,20,up,11.45095238
567,5,14,up,11.3401
557,5,9,up,11.32155844
553,5,7,up,11.04069767
585,5,23,up,10.61533333
563,5,12,up,10.46121622
541,5,1,up,10.44
545,5,3,up,10.37
547,5,4,up,4.89
602,4,8,down,43.94679348
624,4,19,down,39.91878788
600,4,7,down,39.18066667
608,4,11,down,37.14823529
614,4,14,down,36.83219409
610,4,12,down,36.59184874
612,4,13,down,33.61414201
626,4,20,down,32.17528024
622,4,18,down,31.68122137
620,4,17,down,31.46842697
628,4,21,down,31.37875
616,4,15,down,30.35223776
618,4,16,down,30.14191882
604,4,9,down,28.46373494
587,4,0,up,26.16833333
606,4,10,down,25.95120482
589,4,1,up,23.63666667
597,4,5,up,23.605
630,4,22,down,22.718
598,4,6,down,22.40166667
586,4,0,down,16.95535135
632,4,23,down,16.65081967
592,4,3,up,15.93
588,4,1,down,15.27857143
631,4,22,up,14.94071429
621,4,17,up,13.79443299
593,4,3,down,13.45
629,4,21,up,13.36208333
627,4,20,up,13.25789474
609,4,11,up,13.09392593
596,4,5,down,12.97428571
617,4,15,up,12.71112903
590,4,2,down,12.56923077
599,4,6,up,12.51214286
633,4,23,up,12.131
623,4,18,up,11.9116
607,4,10,up,11.18900901
613,4,13,up,11.06293651
619,4,16,up,10.8988806
603,4,8,up,10.54633333
615,4,14,up,10.4108125
605,4,9,up,10.19552632
611,4,12,up,9.921585366
601,4,7,up,9.6775
625,4,19,up,9.3834375
591,4,2,up,8.19
594,4,4,down,8.011
595,4,4,up,0.43
648,3,7,down,40.87908333
672,3,19,down,38.44122995
670,3,18,down,34.06288991
650,3,8,down,30.4559375
668,3,17,down,28.5430131
646,3,6,down,27.0385567
656,3,11,down,26.92695238
658,3,12,down,26.69846847
676,3,21,down,26.66265734
652,3,9,down,26.02320442
660,3,13,down,24.60463918
654,3,10,down,24.4271066
674,3,20,down,23.34587189
664,3,15,down,22.53346008
644,3,5,down,21.28125
662,3,14,down,20.95643836
678,3,22,down,19.8238806
666,3,16,down,17.24274262
680,3,23,down,16.71956522
681,3,23,up,15.90363636
637,3,1,up,15.44076923
677,3,21,up,14.72947368
635,3,0,up,14.54
641,3,3,down,14.417
640,3,3,up,14.2075
647,3,6,up,13.77857143
645,3,5,up,13.12333333
675,3,20,up,13.06090909
636,3,1,down,12.85769231
634,3,0,down,12.85083333
643,3,4,up,12.67
642,3,4,down,12.642
679,3,22,up,12.28380952
673,3,19,up,10.51176471
661,3,13,up,10.42054054
639,3,2,down,10.28466667
649,3,7,up,10.25445946
651,3,8,up,9.7625
667,3,16,up,9.288062016
671,3,18,up,9.255833333
663,3,14,up,9.024102564
659,3,12,up,8.93733945
669,3,17,up,8.746666667
665,3,15,up,8.592913907
657,3,11,up,8.50751938
653,3,9,up,8.491111111
655,3,10,up,8.485703125
638,3,2,up,2.341666667
716,2,19,up,131.0957143
682,2,0,down,45.35
691,2,7,down,40.92571429
719,2,21,down,38.996
689,2,6,down,29.24666667
686,2,3,up,28.1125
695,2,9,down,23.15211538
700,2,11,down,22.85469388
715,2,19,down,22.726875
711,2,17,down,22.18
697,2,10,down,21.78979167
706,2,14,down,20.1525641
717,2,20,down,18.655
693,2,8,down,18.58304348
690,2,6,up,18.34
707,2,15,down,17.3526087
687,2,3,down,16.85
702,2,12,down,16.03861111
685,2,2,down,15.57
713,2,18,down,15.43884615
710,2,16,down,15.15591837
721,2,22,down,13.26
720,2,21,up,12.94
703,2,13,down,12.88857143
705,2,14,up,11.9871875
714,2,18,up,11.92863636
718,2,20,up,10.97
722,2,23,down,10.93
699,2,11,up,10.49744186
683,2,1,up,10.36
704,2,13,up,10.30325301
688,2,4,down,9.866666667
701,2,12,up,9.733170732
684,2,1,down,9.625
692,2,7,up,9.3255
709,2,16,up,9.034526316
712,2,17,up,8.954736842
708,2,15,up,8.529647059
698,2,10,up,7.748055556
696,2,9,up,7.71592233
694,2,8,up,7.512280702
723,2,23,up,5.07
738,1,7,down,29.77925926
762,1,19,down,28.37666667
758,1,17,down,26.29304636
760,1,18,down,25.62904412
748,1,12,down,23.26264045
765,1,20,up,22.67554273
740,1,8,down,21.91177083
744,1,10,down,21.17461538
746,1,11,down,20.90542105
763,1,19,up,20.63797768
761,1,18,up,19.72394984
750,1,13,down,19.14601124
755,1,15,up,18.92326599
752,1,14,down,18.83859649
742,1,9,down,18.17184713
764,1,20,down,17.94917808
745,1,10,up,17.82118068
743,1,9,up,17.62986003
756,1,16,down,17.46817204
737,1,6,up,17.36362963
741,1,8,up,17.15813154
767,1,21,up,16.72507661
757,1,16,up,16.2504028
759,1,17,up,16.13431005
751,1,13,up,16.05842466
753,1,14,up,15.71495741
754,1,15,down,15.65359116
739,1,7,up,15.20316147
768,1,22,down,14.43227273
736,1,6,down,14.37653061
749,1,12,up,13.91057692
747,1,11,up,13.27246781
771,1,23,up,13.12219365
770,1,23,down,12.58394737
766,1,21,down,12.11116667
769,1,22,up,12.02808889
724,1,0,down,9.858181818
731,1,3,up,7.836052632
734,1,5,down,7.288695652
730,1,3,down,7.19
733,1,4,up,7.037017544
735,1,5,up,6.754777328
728,1,2,down,5.94
732,1,4,down,5.337777778
725,1,0,up,5.323305556
727,1,1,up,4.967370892
729,1,2,up,4.861626016
726,1,1,down,3.704375
