,floor,hour,direction,avgWait_weekday
0,1,0,down,26.73869565217391
1,1,0,up,20.354175824175826
2,1,1,down,34.78214285714286
3,1,1,up,39.85246153846154
4,1,2,down,37.13428571428571
5,1,2,up,21.320517241379314
6,1,3,up,18.146792452830187
7,1,3,down,121.3345
8,1,4,down,113.63652173913044
9,1,4,up,18.60585714285714
10,1,5,down,24.19058823529412
11,1,5,up,4.539295774647887
12,1,6,down,10.965714285714286
13,1,6,up,9.329154078549848
14,1,7,down,27.676465517241382
15,1,7,up,13.489127134724859
16,1,8,down,18.82
17,1,8,up,13.7863698630137
18,1,9,down,16.158318584070795
19,1,9,up,14.523325183374086
20,1,10,down,12.773373493975905
21,1,10,up,11.076340996168582
22,1,11,down,17.72076271186441
23,1,11,up,15.871423948220066
24,1,12,down,11.441846153846154
25,1,12,up,9.443265007320644
26,1,13,down,22.064406779661017
27,1,13,up,16.009873737373738
28,1,14,down,17.82094936708861
29,1,14,up,13.832599118942731
30,1,15,down,16.06248407643312
31,1,15,up,16.010209302325585
32,1,16,down,17.740277777777777
33,1,16,up,16.65926582278481
34,1,17,down,14.229733333333334
35,1,17,up,16.058891966759003
36,1,18,down,16.53755813953488
37,1,18,up,14.927475728155342
38,1,19,down,23.367272727272727
39,1,19,up,13.058240574506284
40,1,20,down,19.837857142857143
41,1,20,up,9.249819277108433
42,1,21,down,44.71603174603174
43,1,21,up,8.602810126582279
44,1,22,down,34.74482142857143
45,1,22,up,12.353409961685825
46,1,23,down,71.81318181818182
47,1,23,up,15.207764705882356
48,2,0,down,63.657500000000006
49,2,1,down,286.356
50,2,2,down,212.615
51,2,3,down,294.6190909090909
52,2,4,down,110.43875
53,2,5,down,92.2575
54,2,5,up,98.52142857142857
55,2,6,down,19.316666666666666
56,2,6,up,3.563333333333333
57,2,7,down,15.775000000000002
58,2,7,up,7.009545454545455
59,2,8,down,19.118750000000002
60,2,8,up,10.40258064516129
61,2,9,down,20.23047619047619
62,2,9,up,9.910166666666665
63,2,10,down,14.932025316455695
64,2,10,up,11.74943661971831
65,2,11,down,16.91574074074074
66,2,11,up,9.66886075949367
67,2,12,down,8.510833333333332
68,2,12,up,9.866315789473683
69,2,13,down,20.832
70,2,13,up,11.762222222222222
71,2,14,down,19.144411764705882
72,2,14,up,8.066388888888888
73,2,15,up,10.176842105263159
74,2,15,down,15.14016129032258
75,2,16,down,17.712272727272726
76,2,16,up,10.733559322033898
77,2,17,down,23.556500000000003
78,2,17,up,13.064444444444446
79,2,18,down,22.766190476190477
80,2,18,up,6.01
81,2,19,down,23.601
82,2,19,up,27.47
83,2,20,down,17.44142857142857
84,2,20,up,10.205
85,2,21,down,12.912857142857145
86,2,21,up,7.66
87,2,22,down,94.02333333333333
88,2,22,up,29.19
89,2,23,down,158.32375
90,2,23,up,7.22
91,3,0,down,37.850731707317074
92,3,0,up,10.048461538461538
93,3,1,down,91.91900000000001
94,3,1,up,133.5021739130435
95,3,2,down,61.98794117647059
96,3,2,up,64.48818181818183
97,3,3,down,93.20150000000001
98,3,3,up,144.534
99,3,4,down,104.08071428571428
100,3,4,up,14.457777777777778
101,3,5,down,33.015
102,3,5,up,9.030000000000001
103,3,6,down,14.766749999999998
104,3,6,up,7.952857142857143
105,3,7,down,27.68917355371901
106,3,7,up,11.064638554216868
107,3,8,down,24.123396226415093
108,3,8,up,11.98960451977401
109,3,9,down,19.35111111111111
110,3,9,up,10.6395
111,3,10,down,20.211381215469615
112,3,10,up,8.699315789473683
113,3,11,down,22.29614864864865
114,3,11,up,10.483770491803279
115,3,12,down,15.554140624999999
116,3,12,up,7.515318471337579
117,3,13,down,34.89
118,3,13,up,11.359186046511628
119,3,14,down,23.88031496062992
120,3,14,up,10.664900662251656
121,3,15,down,20.469239130434783
122,3,15,up,11.333543307086613
123,3,16,down,19.46707692307692
124,3,16,up,13.441840000000001
125,3,17,down,21.8460103626943
126,3,17,up,13.183862068965517
127,3,18,down,24.766987951807227
128,3,18,up,11.287683615819208
129,3,19,down,23.606776315789475
130,3,19,up,11.556026490066225
131,3,20,down,16.75463414634146
132,3,20,up,13.171309523809525
133,3,21,down,34.92037499999999
134,3,21,up,17.515254237288136
135,3,22,down,32.2169
136,3,22,up,13.888322981366459
137,3,23,down,32.38462686567164
138,3,23,up,8.658947368421051
139,4,0,down,39.99057692307693
140,4,0,up,42.55260869565217
141,4,1,down,78.60411764705883
142,4,1,up,97.03135135135136
143,4,2,down,29.28461538461539
144,4,2,up,72.78538461538461
145,4,3,down,25.960285714285714
146,4,3,up,6.315384615384615
147,4,4,down,29.776875
148,4,4,up,5.36529411764706
149,4,5,down,21.703703703703702
150,4,5,up,8.32470588235294
151,4,6,down,17.181764705882355
152,4,6,up,12.033809523809524
153,4,7,down,26.39455882352941
154,4,7,up,10.290378787878788
155,4,8,down,32.61027027027027
156,4,8,up,10.801450381679388
157,4,9,down,25.929814814814815
158,4,9,up,12.35472972972973
159,4,10,down,18.560387096774193
160,4,10,up,9.679100529100529
161,4,11,down,29.896275862068965
162,4,11,up,13.130942028985507
163,4,12,down,17.703692307692307
164,4,12,up,6.4849565217391305
165,4,13,down,35.65728813559321
166,4,13,up,14.011538461538462
167,4,14,down,23.457932960893856
168,4,14,up,10.882821782178217
169,4,15,down,26.380447761194027
170,4,15,up,11.515034482758619
171,4,16,down,27.74738219895288
172,4,16,up,12.542972972972974
173,4,17,down,38.39683098591549
174,4,17,up,13.842842105263157
175,4,18,down,22.399385964912277
176,4,18,up,9.952058823529413
177,4,19,down,23.4984375
178,4,19,up,13.587132867132865
179,4,20,down,22.90379912663755
180,4,20,up,12.672658959537571
181,4,21,down,23.51795918367347
182,4,21,up,21.873089430894307
183,4,22,down,32.28106796116505
184,4,22,up,25.764146341463412
185,4,23,down,67.75999999999999
186,4,23,up,41.82949152542374
187,5,0,down,73.03294117647059
188,5,0,up,62.582499999999996
189,5,1,down,110.35666666666668
190,5,1,up,121.83652173913042
191,5,2,up,110.66
192,5,2,down,127.05318181818183
193,5,3,down,102.90208333333334
194,5,3,up,3.2716666666666665
195,5,4,down,70.548
196,5,4,up,294.01666666666665
197,5,5,down,31.046666666666667
