,floor,hour,week,direction,total,count,week_avgWait
1318,B1,10,1,up,2107.32,65,32.42030769
1319,B1,10,2,up,2191.84,69,31.7657971
1320,B1,10,3,up,2591.74,69,37.56144928
1321,B1,10,4,up,2641.77,64,41.27765625
1322,B1,10,5,up,3059.51,102,29.99519608
1323,B1,10,6,up,1205.05,59,20.42457627
1324,B1,11,0,up,1528.59,80,19.107375
1325,B1,11,1,up,2622.39,77,34.05701299
1326,B1,11,2,up,2280.51,57,40.00894737
1327,B1,11,3,up,2437.7,69,35.32898551
1328,B1,11,4,up,2372.47,67,35.41
1329,B1,11,5,up,4065.49,101,40.25237624
1330,B1,11,6,up,1531.8,77,19.89350649
1331,B1,12,0,up,2099.89,97,21.64835052
1332,B1,12,1,up,2614.39,78,33.51782051
1333,B1,12,2,up,2968.23,71,41.80605634
1334,B1,12,3,up,3208.56,57,56.29052632
1335,B1,12,4,up,2437.17,74,32.93472973
1336,B1,12,5,up,4374.51,91,48.07153846
1337,B1,12,6,up,2570.44,94,27.34510638
1338,B1,13,0,up,2004.54,97,20.66536082
1339,B1,13,1,up,2620.24,72,36.39222222
1340,B1,13,2,up,2907.75,70,41.53928571
1341,B1,13,3,up,2112.22,65,32.49569231
1342,B1,13,4,up,2786.05,65,42.86230769
1343,B1,13,5,up,4324.5,95,45.52105263
1344,B1,13,6,up,2041.46,88,23.19840909
1345,B1,14,0,up,2045.24,82,24.94195122
1346,B1,14,1,up,2598.95,66,39.3780303
1347,B1,14,2,up,2727.43,61,44.71196721
1348,B1,14,3,up,2907.8,65,44.73538462
1349,B1,14,4,up,2445.31,74,33.04472973
1350,B1,14,5,up,3342.9,96,34.821875
1351,B1,14,6,up,1803.82,85,21.22141176
1352,B1,15,0,up,1289.96,73,17.67068493
1353,B1,15,1,up,2165.7,73,29.66712329
1354,B1,15,2,up,2652.86,64,41.4509375
1355,B1,15,3,up,2365.81,73,32.40835616
1356,B1,15,4,up,2003.69,63,31.80460317
1357,B1,15,5,up,3764.45,101,37.27178218
1358,B1,15,6,up,1827.07,88,20.76215909
1359,B1,16,0,up,1163.47,74,15.72256757
1360,B1,16,1,up,2186.63,71,30.79760563
1361,B1,16,2,up,2493.79,67,37.22074627
1362,B1,16,3,up,2121.8,66,32.14848485
1363,B1,16,4,up,2412.67,74,32.60364865
1364,B1,16,5,up,3164.77,101,31.33435644
1365,B1,16,6,up,1115.04,75,14.8672
1366,B1,17,0,up,1810.08,96,18.855
1367,B1,17,1,up,2344.39,81,28.94308642
1368,B1,17,2,up,2430.64,73,33.29643836
1369,B1,17,3,up,2398.3,73,32.85342466
1370,B1,17,4,up,2091.88,79,26.47949367
1371,B1,17,5,up,3141.06,104,30.2025
1372,B1,17,6,up,1462.01,86,17.00011628
1373,B1,18,0,up,1646.26,91,18.09076923
1374,B1,18,1,up,2109.5,90,23.43888889
1375,B1,18,2,up,2587.65,80,32.345625
1376,B1,18,3,up,2119,79,26.82278481
1377,B1,18,4,up,1068.14,42,25.43190476
1378,B1,18,5,up,2210.87,84,26.31988095
1379,B1,18,6,up,1398.32,93,15.03569892
1380,B1,19,0,up,1489.8,81,18.39259259
1381,B1,19,1,up,1714.88,97,17.67917526
1382,B1,19,2,up,1656.38,76,21.79447368
1383,B1,19,3,up,1690.92,88,19.215
1384,B1,19,4,up,756.41,38,19.90552632
1385,B1,19,5,up,1890.51,91,20.77483516
1386,B1,19,6,up,1333.56,75,17.7808
1387,B1,20,0,up,767.33,63,12.17984127
1388,B1,20,1,up,1094,72,15.19444444
1389,B1,20,2,up,1464.26,86,17.02627907
1390,B1,20,3,up,1215.81,73,16.65493151
1391,B1,20,4,up,438.66,36,12.185
1392,B1,20,5,up,1033.53,67,15.4258209
1393,B1,20,6,up,778.87,68,11.45397059
1394,B1,21,0,up,425.38,39,10.90717949
1395,B1,21,1,up,580.76,44,13.19909091
1396,B1,21,2,up,475.78,40,11.8945
1397,B1,21,3,up,276.65,33,8.383333333
1398,B1,21,4,up,264.05,21,12.57380952
1399,B1,21,5,up,800.52,54,14.82444444
1400,B1,21,6,up,389.13,36,10.80916667
1401,B1,22,0,up,273.63,22,12.43772727
1402,B1,22,1,up,347.09,28,12.39607143
1403,B1,22,2,up,536.83,36,14.91194444
1404,B1,22,3,up,173.43,18,9.635
1405,B1,22,4,up,151.97,12,12.66416667
1406,B1,22,5,up,291.69,18,16.205
1407,B1,22,6,up,305.7,25,12.228
1408,B1,23,0,up,496.54,31,16.01741935
1409,B1,23,1,up,374.87,28,13.38821429
1410,B1,23,2,up,483.55,33,14.6530303
1411,B1,23,3,up,413.94,30,13.798
1412,B1,23,4,up,243.91,17,14.34764706
1413,B1,23,5,up,699.03,35,19.97228571
1414,B1,23,6,up,623.69,31,20.11903226
