,floor,hour,week,direction,total,count,week_avgWait
154,B1,3,1,up,1.6,1,1.6
155,B1,3,2,up,4.72,3,1.573333333
156,B1,3,3,up,1.6,1,1.6
157,B1,3,5,up,1.58,1,1.58
158,B1,3,6,up,3.25,2,1.625
159,B1,4,0,up,3.21,2,1.605
160,B1,4,1,up,1.6,1,1.6
161,B1,4,2,up,1.55,1,1.55
162,B1,4,3,up,4.91,3,1.636666667
163,B1,4,4,up,3.19,2,1.595
164,B1,4,6,up,3.39,2,1.695
165,B1,5,0,up,4.55,3,1.516666667
166,B1,5,1,up,3.25,2,1.625
167,B1,5,2,up,3.2,2,1.6
168,B1,5,3,up,1.7,1,1.7
169,B1,5,4,up,1.6,1,1.6
170,B1,5,6,up,3.16,2,1.58
171,B1,6,0,up,1.63,1,1.63
172,B1,6,1,up,3.15,2,1.575
173,B1,6,3,up,1.66,1,1.66
174,B1,6,4,up,1.87,1,1.87
175,B1,6,6,up,3.2,2,1.6
176,B1,7,0,up,3.07,2,1.535
177,B1,7,1,up,19.28,7,2.754285714
178,B1,7,2,up,43.04,4,10.76
179,B1,7,3,up,4.75,3,1.583333333
180,B1,7,4,up,18.98,4,4.745
181,B1,7,5,up,1.62,1,1.62
182,B1,7,6,up,20.64,8,2.58
183,B1,8,0,up,68.38,9,7.597777778
184,B1,8,1,up,217.65,19,11.45526316
185,B1,8,2,up,273.2,20,13.66
186,B1,8,3,up,146.13,18,8.118333333
187,B1,8,4,up,143.98,19,7.577894737
188,B1,8,5,up,202.54,29,6.984137931
189,B1,8,6,up,12.74,8,1.5925
190,B1,9,0,up,3.25,2,1.625
191,B1,9,1,up,79.4,10,7.94
192,B1,9,2,up,75.08,9,8.342222222
193,B1,9,3,up,25.59,5,5.118
194,B1,9,4,up,17.26,5,3.452
195,B1,9,5,up,45.99,12,3.8325
196,B1,9,6,up,3.19,2,1.595
197,B1,10,0,up,1.6,1,1.6
198,B1,10,1,up,6.15,4,1.5375
199,B1,10,2,up,4.99,3,1.663333333
200,B1,10,3,up,7.92,5,1.584
201,B1,10,4,up,17.44,6,2.906666667
202,B1,10,5,up,25.61,11,2.328181818
203,B1,10,6,up,15.8,4,3.95
204,B1,11,0,up,1.57,1,1.57
205,B1,11,1,up,28.84,7,4.12
206,B1,11,2,up,11.14,2,5.57
207,B1,11,3,up,36.35,6,6.058333333
