,floor,hour,week,direction,total,count,week_avgWait
814,8,8,1,up,84.55,5,16.91
815,8,8,2,down,44.71,3,14.90333333
816,8,8,2,up,167.48,6,27.91333333
817,8,8,3,down,181.29,9,20.14333333
818,8,8,3,up,43.29,2,21.645
819,8,8,4,down,145,7,20.71428571
820,8,8,4,up,45.36,3,15.12
821,8,8,5,down,432.8,19,22.77894737
822,8,8,5,up,118.65,8,14.83125
823,8,8,6,down,264.63,8,33.07875
824,8,8,6,up,63.38,5,12.676
825,8,9,0,down,285.96,14,20.42571429
826,8,9,0,up,83.84,4,20.96
827,8,9,1,down,190.36,7,27.19428571
828,8,9,1,up,159.75,5,31.95
829,8,9,2,down,208.43,12,17.36916667
830,8,9,2,up,14.93,1,14.93
831,8,9,3,down,183.94,5,36.788
832,8,9,3,up,37.06,3,12.35333333
833,8,9,4,down,82.86,5,16.572
834,8,9,4,up,36.47,1,36.47
835,8,9,5,down,264.15,12,22.0125
836,8,9,5,up,60.39,3,20.13
837,8,9,6,down,223.39,9,24.82111111
838,8,9,6,up,51.48,3,17.16
839,8,10,0,down,125.21,7,17.88714286
840,8,10,0,up,9.29,2,4.645
841,8,10,1,down,317.22,14,22.65857143
842,8,10,1,up,12.15,2,6.075
843,8,10,2,down,130.96,6,21.82666667
844,8,10,3,down,248.12,11,22.55636364
845,8,10,3,up,25.25,3,8.416666667
846,8,10,4,down,162.92,8,20.365
847,8,10,5,down,215.25,8,26.90625
848,8,10,5,up,10.93,1,10.93
849,8,10,6,down,175.89,9,19.54333333
850,8,10,6,up,87.02,6,14.50333333
851,8,11,0,down,175.13,10,17.513
852,8,11,0,up,44.2,3,14.73333333
853,8,11,1,down,197.5,10,19.75
854,8,11,1,up,30.46,1,30.46
855,8,11,2,down,332.09,15,22.13933333
856,8,11,2,up,10.9,1,10.9
857,8,11,3,down,235.25,13,18.09615385
858,8,11,3,up,66.26,3,22.08666667
859,8,11,4,down,222.39,9,24.71
860,8,11,5,down,270.27,15,18.018
861,8,11,5,up,1.37,1,1.37
862,8,11,6,down,59.31,5,11.862
863,8,11,6,up,60.3,3,20.1
864,8,12,0,down,73.44,4,18.36
865,8,12,0,up,58.32,3,19.44
866,8,12,1,down,92.78,4,23.195
867,8,12,1,up,32.68,2,16.34
868,8,12,2,down,124.71,9,13.85666667
869,8,12,2,up,45.09,2,22.545
870,8,12,3,down,63.33,4,15.8325
871,8,12,3,up,24.37,2,12.185
872,8,12,4,down,235.9,11,21.44545455
873,8,12,4,up,69.36,5,13.872
874,8,12,5,down,219.14,14,15.65285714
875,8,12,5,up,42.67,5,8.534
876,8,12,6,down,164.96,6,27.49333333
877,8,12,6,up,91.69,5,18.338
878,8,13,0,down,308.94,9,34.32666667
879,8,13,0,up,49.73,3,16.57666667
880,8,13,1,down,332.71,10,33.271
881,8,13,1,up,129.45,6,21.575
882,8,13,2,down,209.71,12,17.47583333
883,8,13,2,up,53.26,3,17.75333333
884,8,13,3,down,394.99,14,28.21357143
885,8,13,3,up,1.04,1,1.04
886,8,13,4,down,296.46,10,29.646
887,8,13,4,up,57.21,2,28.605
888,8,13,5,down,355.43,16,22.214375
889,8,13,5,up,61.52,5,12.304
890,8,13,6,down,118.27,6,19.71166667
891,8,14,0,down,260.22,13,20.01692308
892,8,14,0,up,82.59,5,16.518
893,8,14,1,down,433.78,21,20.65619048
894,8,14,1,up,119.67,7,17.09571429
895,8,14,2,down,482.6,22,21.93636364
896,8,14,2,up,53.82,4,13.455
897,8,14,3,down,475.39,23,20.66913043
898,8,14,3,up,95.86,4,23.965
899,8,14,4,down,294.51,19,15.50052632
900,8,14,4,up,94.43,7,13.49
901,8,14,5,down,539.26,26,20.74076923
902,8,14,5,up,111.14,6,18.52333333
903,8,14,6,down,224.9,12,18.74166667
904,8,14,6,up,59.73,4,14.9325
905,8,15,0,down,268.19,8,33.52375
906,8,15,0,up,35.35,2,17.675
907,8,15,1,down,285.42,16,17.83875
908,8,15,2,down,206.28,11,18.75272727
909,8,15,2,up,64.7,4,16.175
910,8,15,3,down,466.67,20,23.3335
911,8,15,3,up,62.87,4,15.7175
912,8,15,4,down,227.09,15,15.13933333
913,8,15,4,up,23.44,5,4.688
914,8,15,5,down,180.97,13,13.92076923
915,8,15,5,up,21.78,1,21.78
916,8,15,6,down,338.25,11,30.75
917,8,15,6,up,7.8,2,3.9
918,8,16,0,down,122.72,7,17.53142857
919,8,16,1,down,48.74,2,24.37
920,8,16,1,up,25.85,1,25.85
921,8,16,2,down,76.66,5,15.332
922,8,16,2,up,47.52,3,15.84
923,8,16,3,down,211.23,9,23.47
924,8,16,4,down,12.5,2,6.25
925,8,16,5,down,138.62,8,17.3275
926,8,16,5,up,24.26,2,12.13
927,8,16,6,down,145.62,7,20.80285714
928,8,17,0,down,195.87,12,16.3225
929,8,17,0,up,52.97,5,10.594
930,8,17,1,down,275.27,10,27.527
931,8,17,1,up,117.02,5,23.404
932,8,17,2,down,205.02,6,34.17
933,8,17,2,up,20.1,1,20.1
934,8,17,3,down,293.71,12,24.47583333
935,8,17,3,up,157.34,4,39.335
936,8,17,4,down,199.5,9,22.16666667
937,8,17,4,up,64.51,3,21.50333333
938,8,17,5,down,776.73,22,35.30590909
939,8,17,5,up,57.47,4,14.3675
940,8,17,6,down,414.38,10,41.438
941,8,17,6,up,116.25,5,23.25
942,8,18,0,down,123.57,8,15.44625
943,8,18,0,up,117.71,9,13.07888889
944,8,18,1,down,320.66,10,32.066
