,floor,hour,direction,week,avgWait
182,4,22,up,weekday,32.535
183,4,23,down,weekday,10.81521739
184,4,23,up,weekday,13.14333333
185,5,0,down,weekday,19.83513514
186,5,1,down,weekday,15.11736842
187,5,2,down,weekday,10.594
188,5,3,down,weekday,18.17666667
189,5,4,down,weekday,11.62666667
190,5,5,down,weekday,7.512857143
191,5,6,down,weekday,16.43344828
192,5,7,down,weekday,20.74689655
193,5,8,down,weekday,23.82590517
194,5,9,down,weekday,21.66624535
195,5,10,down,weekday,20.92701068
196,5,11,down,weekday,25.46617187
197,5,12,down,weekday,22.9095
198,5,13,down,weekday,25.0346371
199,5,14,down,weekday,20.95957692
200,5,15,down,weekday,21.90051724
201,5,16,down,weekday,22.41816667
202,5,17,down,weekday,20.42517361
203,5,18,down,weekday,18.15811715
204,5,19,down,weekday,18.08754011
205,5,20,down,weekday,19.06508333
206,5,21,down,weekday,16.16534653
207,5,22,down,weekday,13.75474576
208,5,23,down,weekday,12.13419355
209,B1,0,up,weekday,7.017894737
210,B1,1,up,weekday,6.086086957
211,B1,2,up,weekday,7.98
212,B1,3,up,weekday,5.189259259
213,B1,4,up,weekday,5.647894737
214,B1,5,up,weekday,8.489069767
215,B1,6,up,weekday,18.02163462
216,B1,7,up,weekday,29.02396135
217,B1,8,up,weekday,31.65344118
218,B1,9,up,weekday,32.10157233
219,B1,10,up,weekday,32.24327217
220,B1,11,up,weekday,32.11902857
221,B1,12,up,weekday,35.35342175
222,B1,13,up,weekday,33.68780488
223,B1,14,up,weekday,36.56531609
224,B1,15,up,weekday,30.2832948
225,B1,16,up,weekday,29.48397727
226,B1,17,up,weekday,27.55047264
227,B1,18,up,weekday,24.94908377
228,B1,19,up,weekday,19.23260526
229,B1,20,up,weekday,15.09109091
230,B1,21,up,weekday,11.42723164
231,B1,22,up,weekday,12.78405172
232,B1,23,up,weekday,14.48064748
233,1,0,down,weekend,5.568888889
234,1,0,up,weekend,4.178571429
235,1,1,down,weekend,14.63714286
236,1,1,up,weekend,5.115
237,1,2,down,weekend,7.328
238,1,2,up,weekend,9.045
239,1,3,down,weekend,6.244285714
240,1,3,up,weekend,1.26
241,1,4,down,weekend,9.148
242,1,4,up,weekend,1.6
243,1,5,down,weekend,6.638888889
244,1,5,up,weekend,7.802222222
245,1,6,down,weekend,18.87230769
246,1,6,up,weekend,16.93581818
247,1,7,down,weekend,17.04897959
248,1,7,up,weekend,16.5475
249,1,8,down,weekend,15.91444444
250,1,8,up,weekend,16.64433862
251,1,9,down,weekend,13.07677419
252,1,9,up,weekend,18.81633333
253,1,10,down,weekend,11.25127907
254,1,10,up,weekend,17.76982955
255,1,11,down,weekend,10.168
256,1,11,up,weekend,16.78031646
257,1,12,down,weekend,12.80091667
258,1,12,up,weekend,18.97307692
259,1,13,down,weekend,12.49855556
260,1,13,up,weekend,16.55554217
261,1,14,down,weekend,12.73785714
262,1,14,up,weekend,18.86503311
263,1,15,down,weekend,10.51395349
264,1,15,up,weekend,17.64843284
265,1,16,down,weekend,9.26032967
266,1,16,up,weekend,18.73330935
267,1,17,down,weekend,10.63153846
268,1,17,up,weekend,16.71523077
269,1,18,down,weekend,11.65485294
270,1,18,up,weekend,12.92715909
271,1,19,down,weekend,13.94711111
272,1,19,up,weekend,12.01617021
273,1,20,down,weekend,10.96
274,1,20,up,weekend,9.665
275,1,21,down,weekend,9.185555556
276,1,21,up,weekend,14.28230769
277,1,22,down,weekend,5.733333333
278,1,22,up,weekend,10.51456522
279,1,23,down,weekend,16.8075
280,1,23,up,weekend,11.25722222
281,2,0,down,weekend,18.8
282,2,0,up,weekend,13.93666667
283,2,1,down,weekend,9.18
284,2,1,up,weekend,9.54
285,2,2,down,weekend,21.46
286,2,5,down,weekend,19.07
287,2,6,down,weekend,21.0275
288,2,7,down,weekend,14.076
289,2,7,up,weekend,1.35
290,2,8,down,weekend,18.52428571
291,2,8,up,weekend,7.18
292,2,9,down,weekend,12.65911765
293,2,9,up,weekend,13.97714286
294,2,10,down,weekend,13.85070588
295,2,10,up,weekend,12.48
296,2,11,down,weekend,13.33277108
297,2,11,up,weekend,13.20166667
298,2,12,down,weekend,11.2152459
299,2,12,up,weekend,15.10636364
300,2,13,down,weekend,16.01273973
301,2,13,up,weekend,8.047692308
302,2,14,down,weekend,11.00619718
303,2,14,up,weekend,12.86636364
304,2,15,down,weekend,11.09177215
305,2,15,up,weekend,14.08882353
306,2,16,down,weekend,9.372857143
307,2,16,up,weekend,12.23863636
308,2,17,down,weekend,12.41677419
309,2,17,up,weekend,15.30166667
310,2,18,down,weekend,12.23384615
311,2,18,up,weekend,15.55
312,2,19,down,weekend,19.97083333
313,2,19,up,weekend,6.2775
314,2,20,down,weekend,13.82076923
315,2,20,up,weekend,12.01333333
316,2,21,down,weekend,6.708333333
317,2,22,down,weekend,13.93454545
318,2,22,up,weekend,9.41
319,2,23,down,weekend,26.97222222
320,2,23,up,weekend,1.02
321,3,0,down,weekend,15.035
322,3,1,down,weekend,31.36
323,3,2,down,weekend,14.93
324,3,2,up,weekend,10.175
325,3,3,down,weekend,10.3
326,3,3,up,weekend,0.64
327,3,4,down,weekend,15.9
328,3,5,down,weekend,2.75
329,3,6,down,weekend,17.962
330,3,7,down,weekend,14.36133333
331,3,7,up,weekend,2.27
332,3,8,down,weekend,16.90153846
333,3,8,up,weekend,10.864
334,3,9,down,weekend,14.419375
335,3,9,up,weekend,11.72
336,3,10,down,weekend,13.40725806
337,3,10,up,weekend,15.54
338,3,11,down,weekend,12.27636364
339,3,11,up,weekend,12.41787879
340,3,12,down,weekend,14.66304878
341,3,12,up,weekend,14.73583333
342,3,13,down,weekend,12.30298701
343,3,13,up,weekend,15.32416667
344,3,14,down,weekend,14.77
345,3,14,up,weekend,12.220625
346,3,15,down,weekend,13.49411765
347,3,15,up,weekend,20.978
348,3,16,down,weekend,13.41517647
349,3,16,up,weekend,14.38461538
350,3,17,down,weekend,13.50172131
351,3,17,up,weekend,18.29
352,3,18,down,weekend,11.81532258
353,3,18,up,weekend,11.39
354,3,19,down,weekend,15.20428571
355,3,19,up,weekend,6.14
356,3,20,down,weekend,15.8088
357,3,20,up,weekend,26.12
358,3,21,down,weekend,13.121875
359,3,21,up,weekend,20.54333333
360,3,22,down,weekend,16.7675
361,3,22,up,weekend,11.74
362,3,23,down,weekend,8.378571429
363,4,0,down,weekend,19.49857143
364,4,1,down,weekend,18.88
365,4,2,down,weekend,18.245
366,4,3,up,weekend,1.62
367,4,3,down,weekend,21.32
368,4,4,down,weekend,16.565
369,4,5,down,weekend,3.725
370,4,6,down,weekend,6.771666667
371,4,7,down,weekend,20.36869565
372,4,7,up,weekend,18.34
373,4,8,down,weekend,21.5975
374,4,8,up,weekend,7.615
375,4,9,down,weekend,20.4695098
376,4,9,up,weekend,6.178333333
377,4,10,down,weekend,18.82911111
378,4,10,up,weekend,13.344
379,4,11,down,weekend,16.09688073
380,4,11,up,weekend,14.66
381,4,12,down,weekend,18.41614035
382,4,12,up,weekend,25.426
383,4,13,down,weekend,17.3544086
384,4,13,up,weekend,16.8625
385,4,14,down,weekend,20.36027027
386,4,14,up,weekend,16.04571429
387,4,15,down,weekend,16.79189655
388,4,15,up,weekend,7.0425
389,4,16,down,weekend,17.15
390,4,16,up,weekend,13.574
391,4,17,down,weekend,17.2687931
392,4,17,up,weekend,21.465
393,4,18,down,weekend,18.868
394,4,18,up,weekend,20.93166667
395,4,19,down,weekend,13.99827586
396,4,19,up,weekend,14
397,4,20,down,weekend,17.62982759
398,4,20,up,weekend,22.435
399,4,21,down,weekend,16.826
400,4,21,up,weekend,30.1575
401,4,22,down,weekend,10.97714286
402,4,23,down,weekend,13.29384615
403,4,23,up,weekend,3.2
404,5,0,down,weekend,22.418
405,5,1,down,weekend,18.66
406,5,2,down,weekend,20.52
407,5,3,down,weekend,1.816666667
408,5,4,down,weekend,25.38
409,5,5,down,weekend,8.625
410,5,6,down,weekend,15.519
411,5,7,down,weekend,18.24944444
412,5,8,down,weekend,22.60591398
413,5,9,down,weekend,19.02538462
414,5,10,down,weekend,20.465
415,5,11,down,weekend,27.70315789
416,5,12,down,weekend,28.25344828
417,5,13,down,weekend,26.41603604
418,5,14,down,weekend,20.17524194
419,5,15,down,weekend,22.60782258
420,5,16,down,weekend,20.64406667
421,5,17,down,weekend,19.1548227
422,5,18,down,weekend,17.96919643
423,5,19,down,weekend,16.58609195
424,5,20,down,weekend,17.94
425,5,21,down,weekend,11.25770833
426,5,22,down,weekend,12.70136364
427,5,23,down,weekend,14.46764706
428,B1,0,up,weekend,5.304210526
429,B1,1,up,weekend,3.293636364
430,B1,2,up,weekend,4.756666667
431,B1,3,up,weekend,6.143125
432,B1,4,up,weekend,12.99857143
433,B1,5,up,weekend,8.554615385
434,B1,6,up,weekend,17.66962963
435,B1,7,up,weekend,26.59875
436,B1,8,up,weekend,29.94589189
437,B1,9,up,weekend,27.89859756
438,B1,10,up,weekend,26.48795031
439,B1,11,up,weekend,31.44544944
440,B1,12,up,weekend,37.54027027
441,B1,13,up,weekend,34.78666667
442,B1,14,up,weekend,28.43491713
443,B1,15,up,weekend,29.5847619
444,B1,16,up,weekend,24.31710227
445,B1,17,up,weekend,24.22668421
446,B1,18,up,weekend,20.39090395
447,B1,19,up,weekend,19.42210843
448,B1,20,up,weekend,13.42518519
449,B1,21,up,weekend,13.21833333
450,B1,22,up,weekend,13.8927907
451,B1,23,up,weekend,20.04121212
